address1,address2,address3,address4,buildingArea,buildingName,buildingType,bukken_code,busOnly1,busOnly2,busOnly3,busStop1,busStop2,busStop3,busTime1,busTime2,busTime3,busWalk1,busWalk2,busWalk3,created,equipBurdenCharge,floorPlan,free_catch,gSalesStatus,genbaNo,houseType,landArea,landRight,prefecture,price,price_flg,railway1,railway2,railway3,seqNo,station1,station2,station3,tSalesStatus,walk1,walk2,walk3,webMemberId,zipCode
江東区,森下,１丁目,,77.98,オープンライブス森下スカイドリーム,新築一戸建,439228,0,0,0,,,,0,0,0,0,0,0,2022-02-15,,2LDK+S,「森下」駅歩2分で利便性良好。LDKは対面式キッチン採用。7.6畳のルーフバルコニー付きの新邸です。,最新,,新築,56.56,旧法賃借権,東京都,5480,0,都営新宿線,東京メトロ半蔵門線,総武中央線,1,森下,清澄白河,両国,最新,2,7,15,787147,1350004
江東区,扇橋,３丁目,,70.26,オープンライブス住吉スカイステージ,新築一戸建,440442,0,0,0,,,,0,0,0,0,0,0,2022-02-16,,2LDK+S,半蔵門線／都営新宿線「住吉」駅歩10分の新邸♪全号棟ルーフバルコニー付きで開放感を享受◎,最新,,新築,34.9,所有権,東京都,5980,0,東京メトロ半蔵門線,都営新宿線,,2,住吉,西大島,,最新,10,13,,787147,1350011
江東区,古石場,３丁目,,96.36,オープンライブス木場アクセス,新築一戸建,441781,0,0,0,,,,0,0,0,0,0,0,2022-02-16,,3LDK,「木場」駅歩10分。食器洗乾燥機や浴室乾燥機などの設備が充実。カースペース付きの新築分譲住宅です。,最新,,新築,49.51,旧法賃借権,東京都,6680,0,東京メトロ東西線,都営大江戸線,京葉線,3,木場,門前仲町,越中島,最新,10,10,11,787147,1350045
江東区,東砂,４丁目,,70.64,オープンライブス南砂町プロムナード,新築一戸建,,0,0,0,,,,0,0,0,0,0,0,2022-02-17,,2LDK+S,「南砂町」駅生活圏内。食洗機や浴室乾燥機など設備充実。LDKには対面式キッチンを採用した新邸です。,最新,,新築,40.82,所有権,東京都,4180,0,東京メトロ東西線,都営新宿線,,4,南砂町,大島,,最新,20,23,,787147,1360074
江東区,北砂,７丁目,,68.51,オープンプレイス北砂スカイステージ,新築一戸建,,0,0,0,,,,0,0,0,0,0,0,2022-02-17,,1LDK+2S,「南砂町」駅徒歩圏内。食洗機・浴室乾燥機など設備充実。ルーフバルコニーを採用した新築分譲住宅です。,最新,,新築,53.32,旧法賃借権,東京都,3999,0,東京メトロ東西線,都営新宿線,,5,南砂町,大島,,最新,13,21,,787147,1360073
江東区,大島,８丁目,,64.26,オープンライブス大島ノース,新築一戸建,,0,0,0,,,,0,0,0,0,0,0,2022-02-17,,2LDK+S,都営新宿線「大島」駅歩8分。LDKには対面式キッチンを採用。食洗機や浴室乾燥機など設備も充実です。,最新,,新築,40.17,所有権,東京都,4980,0,都営新宿線,都営新宿線,都営新宿線,6,大島,東大島,西大島,最新,8,11,19,787147,1360072
江東区,東砂,３丁目,,73.37,オープンライブス東砂サンライズ,新築一戸建,448807,0,0,0,,,,0,0,0,0,0,0,2022-02-17,,1LDK+2S,「南砂町」駅生活圏内。食洗機・浴室乾燥機など設備充実。ルーフバルコニーを採用した新築戸建です。,最新,,新築,40.33,所有権,東京都,4380,0,東京メトロ東西線,都営新宿線,,7,南砂町,東大島,,最新,21,22,,787147,1360074
江東区,大島,３丁目,,70.79,オープンライブス大島アクセス,新築一戸建,449009,0,0,0,,,,0,0,0,0,0,0,2022-02-24,,2LDK+S,「大島」駅歩5分。LDKには足元から暖かな床暖房付。食洗機や浴室乾燥機など設備充実の新築住宅です。,最新,,新築,37.96,所有権,東京都,5380,0,都営新宿線,総武中央線,東京メトロ半蔵門線,8,大島,亀戸,住吉,最新,5,13,18,787147,1360072
江東区,大島,８丁目,,95.87,オープンライブス大島サンライズ,新築一戸建,452107,0,0,0,,,,0,0,0,0,0,0,2022-02-18,,3LDK+S,都営新宿線「東大島」駅歩8分。食洗機や床暖房などの設備が標準装備。カースペース付の新築分譲住宅です。,最新,,新築,66.09,所有権,東京都,6980,0,都営新宿線,都営新宿線,,9,東大島,大島,,最新,8,8,,787147,1360072
府中市,晴見町,３丁目,,,府中市晴見町の宅地,売土地,44774401,1,0,1,明星学苑,,明星学苑,11,0,8,3,0,3,2022-02-17,,,「府中」駅行きのバス停まで徒歩3分。落ち着きある第一種低層エリアの住環境。自由設計可能な売地です。,最新,,新築,74.85,所有権,東京都,2180,0,京王線,武蔵野線,中央本線,10,府中,北府中,国分寺,最新,,,,787147,1830057